language,id,text,file,node,lineNumber,lock,comment
en,line:01d607f,The lights of the city reflect in Brette's eyes.,Assets/YarnFile/00/00_02/00_02.yarn,Start,4,b96bf411,
en,line:0d982d5,The twinkling lights in the distance look like a starry sky within reach of your fingertips.,Assets/YarnFile/00/00_02/00_02.yarn,Start,6,d4c405cb,
en,line:03043fa,Brette looks longingly at the beautiful night scene.,Assets/YarnFile/00/00_02/00_02.yarn,Start,8,a1f2f786,
en,line:0f35d68,......,Assets/YarnFile/00/00_02/00_02.yarn,Start,10,a7f878b8,
en,line:0dc6bd2,But neither of you can ignore the boy who is sitting on the edge of the roof.,Assets/YarnFile/00/00_02/00_02.yarn,Start,12,a0b63fe6,
en,line:0209785,He sits there alone,Assets/YarnFile/00/00_02/00_02.yarn,Start,16,9db70e4f,
en,line:04d30c8,???: do -- sa -- mi -- re...,Assets/YarnFile/00/00_02/00_02.yarn,Start,18,8fa7ff8c,
en,line:0ffaab8,The unknown figure shakes his legs. The weather is still cool and breezy in early March. His hair and the light tune he’s humming are blown away by the wind.,Assets/YarnFile/00/00_02/00_02.yarn,Start,20,1e0610d0,
en,line:03da71d,Brette seems concerned for this stranger.,Assets/YarnFile/00/00_02/00_02.yarn,Start,24,1b16945d,
en,line:03ada0a,"Brette: Hey, don't sit so close to the edge—it's dangerous!",Assets/YarnFile/00/00_02/00_02.yarn,Start,26,e3d1323e,
en,line:02f3d63,???: do -- sa -- mi -- re...,Assets/YarnFile/00/00_02/00_02.yarn,Start,30,8fa7ff8c,
en,line:043f719,Brette raises his voice and says it again.,Assets/YarnFile/00/00_02/00_02.yarn,Start,32,66b3ebe6,
en,line:0f7f6e0,Brette: I'm talking about you! Stay away from the edge of the building. It's too dangerous!,Assets/YarnFile/00/00_02/00_02.yarn,Start,34,9e61d436,
en,line:03e2545,???: do -- sa -- mi -- re...,Assets/YarnFile/00/00_02/00_02.yarn,Start,36,8fa7ff8c,
en,line:0eecf3c,"The stranger is still humming the unknown tune, as if he hasn't heard Brette's warning or noticed the city beneath him.",Assets/YarnFile/00/00_02/00_02.yarn,Start,38,a2029568,
en,line:01dee5f,Brette can't help but walk over and approach the stranger while giving a warning again.,Assets/YarnFile/00/00_02/00_02.yarn,Start,40,c64de21c,
en,line:0b8fbbd,Brette: Did you hear me? This is too dangerous... Eh? ,Assets/YarnFile/00/00_02/00_02.yarn,Start,42,770f47b5,
en,line:06ed5f1,"Brette walks closer and realizes that the owner of the back is a clean-looking teenager, who has his eyes closed. He is making a steady snoring sound while humming a song.",Assets/YarnFile/00/00_02/00_02.yarn,Start,48,d35f3d29,
en,line:022459d,Brette: This guy... Is he sitting here... sleeping?,Assets/YarnFile/00/00_02/00_02.yarn,Start,50,d927d671,
en,line:05e0caf,"Brette: This is too dangerous, right? This is the 22nd floor. You'll die if you fall from here!",Assets/YarnFile/00/00_02/00_02.yarn,Start,52,0c93f2c8,
en,line:05fc31b,Brette: ...,Assets/YarnFile/00/00_02/00_02.yarn,Start,54,ceb2bf3a,
