language,id,text,file,node,lineNumber,lock,comment
en,line:04a5333,"Brette: I think... Almost here, right?",Assets/YarnFile/00/00_03/00_03.yarn,Start,4,3d4aa807,
en,line:02a0384,Brette hesitates and knocks on the heavy iron door.,Assets/YarnFile/00/00_03/00_03.yarn,Start,6,8a95c50d,
en,line:070fb8a,"Brette: Hello, your food has arrived.",Assets/YarnFile/00/00_03/00_03.yarn,Start,8,f2e39316,
en,line:0a4303e,No response.,Assets/YarnFile/00/00_03/00_03.yarn,Start,10,8d448219,
en,line:0284394,Brette knocks again,Assets/YarnFile/00/00_03/00_03.yarn,Start,12,87d87c39,
en,line:07bebfd,Brette:Hello! Your order has arrived!,Assets/YarnFile/00/00_03/00_03.yarn,Start,14,759862c2,
en,line:07fd203,Still no answer.,Assets/YarnFile/00/00_03/00_03.yarn,Start,16,782db281,
en,line:0c86418,Brette: I don't think I'm in the wrong place... I'm having trouble navigating...,Assets/YarnFile/00/00_03/00_03.yarn,Start,18,0625c8d2,
en,line:0314e67,"Brette tries again, but doesn't give up.",Assets/YarnFile/00/00_03/00_03.yarn,Start,20,895c7714,
en,line:01ea1a0,"Brette: Your order has arrived! Can you open the door for me, please?",Assets/YarnFile/00/00_03/00_03.yarn,Start,22,7cd1ec92,
en,line:04c6085,There was only silence behind the iron door.,Assets/YarnFile/00/00_03/00_03.yarn,Start,24,be396653,
en,line:0835e80,"Brette walks around the building and sees a hidden door on the side, and after a moment's hesitation, pushes it open and enters.",Assets/YarnFile/00/00_03/00_03.yarn,Start,26,fdd3041d,
en,line:01f3eb9,"Brette: Hello! Is anyone there, please?",Assets/YarnFile/00/00_03/00_03.yarn,Start,31,0023f340,
en,line:058ed36,Brette's voice echoed in the empty metal hallway,Assets/YarnFile/00/00_03/00_03.yarn,Start,33,1cc817d3,
en,line:090030e,Brette: Is there no one here at all...?,Assets/YarnFile/00/00_03/00_03.yarn,Start,35,1cc7c047,
en,line:01dc9bc,Brette turned two corners and suddenly a lighted room appeared on the side of the corridor. From the room came the sound of someone talking.,Assets/YarnFile/00/00_03/00_03.yarn,Start,37,02cc61d7,
en,line:0df411a,"Brette: ? : Music festival... Yes, this was the perfect time to do it, with absolute assurance of both exposure and impact.",Assets/YarnFile/00/00_03/00_03.yarn,Start,39,a140de1f,
en,line:0134f05,The sudden sound of talking stops Brette in her tracks for a moment.,Assets/YarnFile/00/00_03/00_03.yarn,Start,41,1ecdd315,
en,line:00bf589,Brette: Damn... There's someone here...,Assets/YarnFile/00/00_03/00_03.yarn,Start,43,89431215,
en,line:0b81236,"Brette: It's better to go out first, otherwise I'm afraid this is considered trespassing.",Assets/YarnFile/00/00_03/00_03.yarn,Start,45,0fc96f6e,
en,line:048c79d,"At that moment, another person's voice sounded",Assets/YarnFile/00/00_03/00_03.yarn,Start,47,efc89d04,
en,line:0c13d71,"?? : Yes, I prefer to see that as a show rather than an assassination.",Assets/YarnFile/00/00_03/00_03.yarn,Start,49,cca26a24,
en,line:00957a5,?? : A curtain call from the underground community of the city.,Assets/YarnFile/00/00_03/00_03.yarn,Start,51,3b8fc7d1,
